City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Seattle,uberX,COMPLETED,2016-11-13 19:38:34 +0000 UTC,2016-11-13 19:40:02 +0000 UTC,47.6192347,-122.3464118,"100 Taylor Ave N, Seattle, WA 98109, USA",2016-11-13 19:44:47 +0000 UTC,47.6119148,-122.3477132,"2226 Elliott Ave, Seattle, WA 98121, USA",0.68,5.32,USD
Seattle,uberX,COMPLETED,2016-11-13 02:10:18 +0000 UTC,2016-11-13 02:12:17 +0000 UTC,47.611779022,-122.347327116,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-13 02:20:02 +0000 UTC,47.5985989311,-122.32768527,"5th Ave S & S King St, Seattle, WA 98104, USA",1.42,6.97,USD
Seattle,uberX,CANCELED,2016-11-13 02:04:06 +0000 UTC,2016-11-13 02:07:48 +0000 UTC,47.6185459,-122.3522858,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6121306,-122.3483113,"5th Ave S & S King St, Seattle, WA 98104, USA",0.00,5,USD
Seattle,uberX,CANCELED,2016-11-13 02:03:37 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,47.6160622963,-122.350265392,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6160622963,-122.350265392,"5th Ave S & S King St, Seattle, WA 98104, USA",0.00,0,USD
Seattle,uberX,COMPLETED,2016-11-13 01:36:24 +0000 UTC,2016-11-13 01:38:45 +0000 UTC,47.6092624551,-122.337374814,"1419 3rd Ave, Seattle, WA 98101, USA",2016-11-13 01:45:19 +0000 UTC,47.6117440586,-122.347157989,"2226 Elliott Ave, Seattle, WA 98121, USA",1.54,5.47,USD
Seattle,uberX,COMPLETED,2016-11-12 23:59:52 +0000 UTC,2016-11-13 00:03:18 +0000 UTC,47.6192588003,-122.346314412,"100 Taylor Ave N, Seattle, WA 98109, USA",2016-11-13 00:10:51 +0000 UTC,47.6091030798,-122.340295089,"Pike Place Market, Seattle, WA, USA",0.95,5.75,USD
Seattle,uberX,COMPLETED,2016-11-12 19:31:39 +0000 UTC,2016-11-12 19:34:47 +0000 UTC,47.6157902767,-122.350614753,"2619 1st Ave, Seattle, WA 98121, USA",2016-11-12 19:39:33 +0000 UTC,47.6052196382,-122.339806671,"1101 Alaskan Way, Seattle, WA 98101, USA",1.04,5.93,USD
Seattle,uberX,COMPLETED,2016-11-12 04:18:51 +0000 UTC,2016-11-12 04:21:30 +0000 UTC,47.6144926886,-122.338489398,"2001 6th Ave, Seattle, WA 98121, USA",2016-11-12 04:25:18 +0000 UTC,47.615157762,-122.351430635,"2601 Western Ave, Seattle, WA 98121, USA",0.85,5.34,USD
Seattle,uberX,CANCELED,2016-11-12 04:18:24 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,"2001 6th Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,,,"2610 Western Ave, Seattle, WA 98121, USA",0.00,0,USD
Seattle,uberX,COMPLETED,2016-11-11 05:53:52 +0000 UTC,2016-11-11 05:57:33 +0000 UTC,47.6117213103,-122.347169135,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-11 06:03:26 +0000 UTC,47.6194923732,-122.346312466,"100 Taylor Ave N, Seattle, WA 98109, USA",0.97,5.67,USD
Seattle,uberX,DRIVER_CANCELED,2016-11-11 05:45:02 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,,,"100 Taylor Ave N, Seattle, WA 98109, USA",0.00,0,USD
Seattle,uberX,COMPLETED,2016-11-10 04:01:25 +0000 UTC,2016-11-10 04:04:41 +0000 UTC,47.6112839068,-122.337901443,"300 Pine St, Seattle, WA 98181, United States",2016-11-10 04:15:20 +0000 UTC,47.6117020799,-122.347093709,"2226 Elliott Ave, Seattle, WA 98121, USA",2.14,8.32,USD
Seattle,uberX,COMPLETED,2016-11-10 03:13:29 +0000 UTC,2016-11-10 03:24:29 +0000 UTC,47.6118516268,-122.347408885,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-10 03:32:20 +0000 UTC,47.6193112211,-122.346313976,"100 Taylor Ave N, Seattle, WA 98109, USA",0.88,5.73,USD
Seattle,uberX,CANCELED,2016-11-08 05:25:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,47.627580951,-122.343660482,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6236629457,-122.343994429,"100 Taylor Ave N, Seattle, WA 98109, USA",0.00,0,USD
Seattle,UberEATS,COMPLETED,2016-11-05 21:10:37 +0000 UTC,2016-11-05 21:10:46 +0000 UTC,47.6120645,-122.3472721,,2016-11-05 21:51:11 +0000 UTC,47.6120645,-122.3472721,,4.20,29.09,USD
Seattle,UberEATS,COMPLETED,2016-11-04 03:19:53 +0000 UTC,2016-11-04 03:20:24 +0000 UTC,47.6120645,-122.3472721,,2016-11-04 04:15:13 +0000 UTC,47.6120645,-122.3472721,,5.91,14.99,USD
Seattle,uberPOOL,COMPLETED,2016-11-01 06:14:10 +0000 UTC,2016-11-01 06:26:08 +0000 UTC,47.6120014,-122.3480133,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-01 06:31:37 +0000 UTC,47.6194834,-122.3465311,"100 Taylor Ave N, Seattle, WA 98109, USA",0.90,5,USD
Seattle,UberEATS,COMPLETED,2016-11-01 04:22:36 +0000 UTC,2016-11-01 04:23:12 +0000 UTC,47.6120555,-122.3473374,,2016-11-01 05:31:46 +0000 UTC,47.6120555,-122.3473374,,0.60,20.53,USD
Seattle,UberEATS,COMPLETED,2016-11-01 03:18:25 +0000 UTC,2016-11-01 03:18:47 +0000 UTC,47.6120555,-122.3473374,,2016-11-01 03:45:45 +0000 UTC,47.6120555,-122.3473374,,0.60,0,USD
Seattle,uberX,COMPLETED,2016-10-30 07:01:26 +0000 UTC,2016-10-30 07:09:54 +0000 UTC,47.6195988,-122.3240161,"1650 E Olive Way, Seattle, WA 98102, USA",2016-10-30 07:33:30 +0000 UTC,47.6117675,-122.3470255,"2226 Elliott Ave, Seattle, WA 98121, USA",6.53,17.36,USD
Seattle,uberPOOL,CANCELED,2016-10-25 01:16:19 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,,,"1700 7th Ave #116, Seattle, WA 98101, USA",0.00,0,USD
Seattle,UberEATS,COMPLETED,2016-10-24 04:12:44 +0000 UTC,2016-10-24 04:13:00 +0000 UTC,47.6120555,-122.3473374,,2016-10-24 04:44:34 +0000 UTC,47.6120555,-122.3473374,,1.08,16.68,USD
Seattle,UberEATS,COMPLETED,2016-10-23 06:27:29 +0000 UTC,2016-10-23 06:29:01 +0000 UTC,47.6120555,-122.3473374,,2016-10-23 07:04:44 +0000 UTC,47.6120555,-122.3473374,,5.91,14.99,USD
Seattle,uberX,CANCELED,2016-10-22 06:39:26 +0000 UTC,2016-10-22 06:39:30 +0000 UTC,47.6185754968,-122.345654172,"100 Taylor Ave N, Seattle, WA 98109, USA",1970-01-01 00:00:00 +0000 UTC,47.6192569823,-122.346314428,"2226 Elliott Ave, Seattle, WA 98121, USA",0.00,0,USD
Seattle,uberX,COMPLETED,2016-10-15 21:22:00 +0000 UTC,2016-10-15 21:26:52 +0000 UTC,47.6244764179,-122.355403853,"23 Mercer St, Seattle, WA 98109, USA",2016-10-15 21:39:32 +0000 UTC,47.6063213353,-122.333138273,"1000 4th Ave, Seattle, WA 98104, USA",2.12,8.79,USD
Seattle,uberPOOL,CANCELED,2016-10-15 01:54:11 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,47.6178679648,-122.352173284,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6178679418,-122.352173244,"211 W Highland Dr, Seattle, WA 98119, USA",0.00,2,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-10-14 21:26:59 +0000 UTC,2016-10-14 21:33:27 +0000 UTC,47.6121323,-122.3480816,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-10-14 21:57:18 +0000 UTC,47.6285745,-122.2960781,"1075 Lake Washington Blvd E, Seattle, WA 98112, USA",5.96,12.48,USD
Seattle,uberX,COMPLETED,2016-10-08 19:02:38 +0000 UTC,2016-10-08 19:06:45 +0000 UTC,47.6118031,-122.3470669,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-10-08 19:43:32 +0000 UTC,47.4755345,-122.1975094,"1518 S 5th Pl, Renton, WA 98057, USA",16.79,28.69,USD
Seattle,uberX,CANCELED,2016-10-08 19:01:35 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,47.6114442,-122.3431648,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6114406,-122.3431729,,0.00,0,USD
Seattle,uberX,CANCELED,2016-10-08 17:24:27 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,47.6083105,-122.3420066,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6083108,-122.342007,,0.00,0,USD
Seattle,uberX,COMPLETED,2016-10-08 05:23:34 +0000 UTC,2016-10-08 05:29:01 +0000 UTC,47.6117493539,-122.347033527,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-10-08 05:31:50 +0000 UTC,47.6138294908,-122.345219432,"2222 2nd Ave, Seattle, WA 98121, USA",0.45,5.04,USD
Seattle,UberEATS,COMPLETED,2016-10-06 04:23:23 +0000 UTC,2016-10-06 04:23:46 +0000 UTC,47.6120645,-122.3472721,,2016-10-06 04:54:08 +0000 UTC,47.6120645,-122.3472721,,4.30,11.7,USD
Seattle,uberx,COMPLETED,2016-09-05 18:32:21 +0000 UTC,2016-09-05 18:36:03 +0000 UTC,47.6285539934,-122.296117729,"1075 Lake Washington Blvd E, Seattle, WA 98112, USA",2016-09-05 18:59:06 +0000 UTC,47.5847278232,-122.399554649,"Alki Beach, Seattle, WA, USA",10.10,24.72,USD
Seattle,uberx,COMPLETED,2016-09-04 20:29:07 +0000 UTC,2016-09-04 20:34:48 +0000 UTC,47.6073271025,-122.341059928,"1400 Alaskan Way, Seattle, WA 98101, USA",2016-09-04 20:43:32 +0000 UTC,47.6138414244,-122.345178148,"2228 2nd Ave, Seattle, WA 98121, USA",1.12,5.75,USD
Seattle,uberx,COMPLETED,2016-09-02 04:49:07 +0000 UTC,2016-09-02 04:50:53 +0000 UTC,47.6186296,-122.3457323,"566 Denny Way, Seattle, WA 98109, USA",2016-09-02 04:55:46 +0000 UTC,47.6117484,-122.346936,"2226 Elliott Ave, Seattle, WA 98121, USA",1.10,6.87,USD
Seattle,SELECT,COMPLETED,2016-08-07 21:59:51 +0000 UTC,2016-08-07 22:03:52 +0000 UTC,47.6047515544,-122.330374913,"701 5th Ave, Seattle, WA 98104, USA",2016-08-07 22:11:38 +0000 UTC,47.6177653448,-122.344769075,"330 3rd Ave W, Seattle, WA 98119, USA",1.54,11.93,USD
